Method,Config,MAE,RMSE,cov_runtime_s,cov_peak_mem_mb
PCA Mean-Filling,5 peers,0.4647990639287692,0.6306225225292766,0.0101120471954345,14.665843963623049
PCA Mean-Filling,10 peers,0.4743139518377278,0.6833055493714987,0.0101120471954345,14.665843963623049
PCA with MLE,5 peers,0.5196312480941578,0.6969968718449506,283.04094791412354,6.206077575683594
PCA with MLE,10 peers,0.4244309393281761,0.545065269521588,283.04094791412354,6.206077575683594
Truncated SVD,k=5,6.864553731411048,6.989688511769011,0.3737618923187256,29.9797945022583
Truncated SVD,k=20,6.864516424475614,6.995874896763171,0.3737618923187256,29.9797945022583
Truncated SVD,k=50,6.864525499950216,6.999195565525166,0.3737618923187256,29.9797945022583
Truncated SVD,k=100,6.8645321861243564,7.00508497253412,0.3737618923187256,29.9797945022583
