method,k,reconstruction_MAE,reconstruction_RMSE,target_I1_MAE,target_I1_RMSE,target_I2_MAE,target_I2_RMSE,svd_runtime_s,svd_peak_mem_mb
SVD_Truncated,5,6.864553731411048,6.989688511769011,,,8.86333580096838,8.918542164177765,0.3737618923187256,29.9797945022583
SVD_Truncated,20,6.864516424475614,6.995874896763171,,,8.858204072974607,8.929920268507571,0.3737618923187256,29.9797945022583
SVD_Truncated,50,6.864525499950216,6.999195565525166,,,8.860496108665687,8.930403218560885,0.3737618923187256,29.9797945022583
SVD_Truncated,100,6.8645321861243564,7.00508497253412,,,8.845351197628473,8.924572325100703,0.3737618923187256,29.9797945022583
