model,mae,rmse,coverage,n_predictions,segment
Content-Based,1.6909269400924447,2.0093364795951194,100.0,2525,Cold-Start
Collaborative Filtering,1.0074074074074075,1.1589693164804709,0.6036217303822937,15,Cold-Start
Hybrid (alpha=0.7),1.9427248578791363,2.202781933033471,100.0,2525,Cold-Start
Content-Based,1.1702532893692286,1.4247082052738407,100.0,10286,Non-Cold-Start
Collaborative Filtering,0.8009323184499506,1.074982501147872,11.646503998359647,1136,Non-Cold-Start
Hybrid (alpha=0.3),1.993724592363727,2.2147585090569035,100.0,10286,Non-Cold-Start
